environment	state_col	state	source	target	diagnostic_pass	beta_hat_full	state_slope	abs_state_slope	n_cells_state
kidney	broad_cell_class	t cell	E2F4	SRSF8	0	0.0432647899809934	0.17691880267933432	0.17691880267933432	651
kidney	broad_cell_class	lymphocyte of b lineage	E2F4	SRSF8	0	0.0432647899809934	-0.010868414947282827	0.010868414947282827	397
kidney	broad_cell_class	myeloid leukocyte	E2F4	SRSF8	0	0.0432647899809934	0.06495337895011258	0.06495337895011258	316
kidney	broad_cell_class	kidney epithelial cell	EGR1	ARHGAP45	0	-0.1084873562121467	0.008406824957793872	0.008406824957793872	6402
kidney	broad_cell_class	t cell	EGR1	ARHGAP45	0	-0.1084873562121467	0.10584282450640756	0.10584282450640756	651
kidney	broad_cell_class	lymphocyte of b lineage	EGR1	ARHGAP45	0	-0.1084873562121467	0.06993222720997587	0.06993222720997587	397
kidney	broad_cell_class	myeloid leukocyte	EGR1	ARHGAP45	0	-0.1084873562121467	0.04840392913374182	0.04840392913374182	316
kidney	broad_cell_class	kidney epithelial cell	EGR1	DNM1	0	0.0287825118749389	0.1774928831934655	0.1774928831934655	6402
kidney	broad_cell_class	t cell	EGR1	DNM1	0	0.0287825118749389	0.02468778452055337	0.02468778452055337	651
kidney	broad_cell_class	lymphocyte of b lineage	EGR1	DNM1	0	0.0287825118749389	-0.013059850273138808	0.013059850273138808	397
kidney	broad_cell_class	myeloid leukocyte	EGR1	DNM1	0	0.0287825118749389	0.007435525266571105	0.007435525266571105	316
kidney	broad_cell_class	kidney epithelial cell	EGR1	MMP14	0	0.0200681497818701	0.06515401720952807	0.06515401720952807	6402
kidney	broad_cell_class	t cell	EGR1	MMP14	0	0.0200681497818701	0.0	0.0	651
kidney	broad_cell_class	lymphocyte of b lineage	EGR1	MMP14	0	0.0200681497818701	0.0	0.0	397
kidney	broad_cell_class	myeloid leukocyte	EGR1	MMP14	0	0.0200681497818701	-0.043430750052514525	0.043430750052514525	316
kidney	broad_cell_class	kidney epithelial cell	EGR1	SYN2	1	0.0038893750954346	0.03066578112116457	0.03066578112116457	6402
kidney	broad_cell_class	t cell	EGR1	SYN2	1	0.0038893750954346	-0.004516906851475768	0.004516906851475768	651
kidney	broad_cell_class	lymphocyte of b lineage	EGR1	SYN2	1	0.0038893750954346	-0.00047494339280354357	0.00047494339280354357	397
kidney	broad_cell_class	myeloid leukocyte	EGR1	SYN2	1	0.0038893750954346	0.036371278418435155	0.036371278418435155	316
kidney	broad_cell_class	kidney epithelial cell	EGR1	ZFPM1	0	-0.0162140511706164	-0.021681711408325362	0.021681711408325362	6402
kidney	broad_cell_class	t cell	EGR1	ZFPM1	0	-0.0162140511706164	-0.03099217282810043	0.03099217282810043	651
kidney	broad_cell_class	lymphocyte of b lineage	EGR1	ZFPM1	0	-0.0162140511706164	0.1722742281937168	0.1722742281937168	397
kidney	broad_cell_class	myeloid leukocyte	EGR1	ZFPM1	0	-0.0162140511706164	-0.022506054061611377	0.022506054061611377	316
kidney	broad_cell_class	kidney epithelial cell	ESR1	SMOX	1	0.0315932811631253	0.02230105531390971	0.02230105531390971	6402
kidney	broad_cell_class	t cell	ESR1	SMOX	1	0.0315932811631253	0.0016451367398479559	0.0016451367398479559	651
kidney	broad_cell_class	lymphocyte of b lineage	ESR1	SMOX	1	0.0315932811631253	0.048351146656042655	0.048351146656042655	397
kidney	broad_cell_class	myeloid leukocyte	ESR1	SMOX	1	0.0315932811631253	-0.017503261508158376	0.017503261508158376	316
kidney	broad_cell_class	kidney epithelial cell	ETS1	PRL	0	-0.0007627829457862	0.0022245791571217834	0.0022245791571217834	6402
kidney	broad_cell_class	t cell	ETS1	PRL	0	-0.0007627829457862	-0.0048346280537409645	0.0048346280537409645	651
kidney	broad_cell_class	lymphocyte of b lineage	ETS1	PRL	0	-0.0007627829457862	-0.00010292030403909239	0.00010292030403909239	397
kidney	broad_cell_class	myeloid leukocyte	ETS1	PRL	0	-0.0007627829457862	-0.0043334548447890855	0.0043334548447890855	316
kidney	broad_cell_class	kidney epithelial cell	ETS1	ST3GAL1	0	0.241958977573052	0.0010304130874979713	0.0010304130874979713	6402
kidney	broad_cell_class	t cell	ETS1	ST3GAL1	0	0.241958977573052	0.12630487091218215	0.12630487091218215	651
kidney	broad_cell_class	lymphocyte of b lineage	ETS1	ST3GAL1	0	0.241958977573052	0.03732728415313943	0.03732728415313943	397
kidney	broad_cell_class	myeloid leukocyte	ETS1	ST3GAL1	0	0.241958977573052	-0.12216694771069421	0.12216694771069421	316
kidney	broad_cell_class	kidney epithelial cell	ETV4	CCND2	0	0.1510143188048724	0.01762905066850148	0.01762905066850148	6402
kidney	broad_cell_class	t cell	ETV4	CCND2	0	0.1510143188048724	0.3767303069986532	0.3767303069986532	651
kidney	broad_cell_class	lymphocyte of b lineage	ETV4	CCND2	0	0.1510143188048724	-0.13548827458635007	0.13548827458635007	397
kidney	broad_cell_class	myeloid leukocyte	ETV4	CCND2	0	0.1510143188048724	-0.010707762126902037	0.010707762126902037	316
kidney	broad_cell_class	kidney epithelial cell	EZH2	ADAMTS1	0	0.0021991817036712	0.01169704272759567	0.01169704272759567	6402
kidney	broad_cell_class	t cell	EZH2	ADAMTS1	0	0.0021991817036712	0.008696710077988393	0.008696710077988393	651
kidney	broad_cell_class	lymphocyte of b lineage	EZH2	ADAMTS1	0	0.0021991817036712	0.0	0.0	397
kidney	broad_cell_class	myeloid leukocyte	EZH2	ADAMTS1	0	0.0021991817036712	0.008052230547878316	0.008052230547878316	316
kidney	broad_cell_class	kidney epithelial cell	EZH2	RPLP0	0	0.0242308484352182	-0.04629408006475592	0.04629408006475592	6402
kidney	broad_cell_class	t cell	EZH2	RPLP0	0	0.0242308484352182	0.04405994057590377	0.04405994057590377	651
kidney	broad_cell_class	lymphocyte of b lineage	EZH2	RPLP0	0	0.0242308484352182	-0.05127875548287554	0.05127875548287554	397
kidney	broad_cell_class	myeloid leukocyte	EZH2	RPLP0	0	0.0242308484352182	0.12615576764202	0.12615576764202	316
kidney	broad_cell_class	kidney epithelial cell	FOS	CEP112	1	0.0324527192567474	0.2900301762373922	0.2900301762373922	6402
kidney	broad_cell_class	t cell	FOS	CEP112	1	0.0324527192567474	0.020247539116783515	0.020247539116783515	651
kidney	broad_cell_class	lymphocyte of b lineage	FOS	CEP112	1	0.0324527192567474	-0.003110250012242549	0.003110250012242549	397
kidney	broad_cell_class	myeloid leukocyte	FOS	CEP112	1	0.0324527192567474	0.004177193186514373	0.004177193186514373	316
kidney	broad_cell_class	kidney epithelial cell	FOS	PARD3B	0	0.10214889492053	0.6904274744047039	0.6904274744047039	6402
kidney	broad_cell_class	t cell	FOS	PARD3B	0	0.10214889492053	0.0017633601472307242	0.0017633601472307242	651
kidney	broad_cell_class	lymphocyte of b lineage	FOS	PARD3B	0	0.10214889492053	0.0033866256068330156	0.0033866256068330156	397
kidney	broad_cell_class	myeloid leukocyte	FOS	PARD3B	0	0.10214889492053	-0.026124681936528227	0.026124681936528227	316
kidney	broad_cell_class	kidney epithelial cell	GATA2	FRY	0	0.1196582933428292	0.6054212318032224	0.6054212318032224	6402
kidney	broad_cell_class	kidney epithelial cell	GATA2	NR3C2	1	-0.0881468295816236	1.5422712165667225	1.5422712165667225	6402
kidney	broad_cell_class	kidney epithelial cell	GATA3	RBMS1	0	0.1363361345442438	0.4088598702107292	0.4088598702107292	6402
kidney	broad_cell_class	t cell	GATA3	RBMS1	0	0.1363361345442438	0.0062587702892778355	0.0062587702892778355	651
kidney	broad_cell_class	myeloid leukocyte	GATA3	RBMS1	0	0.1363361345442438	0.2903456974377114	0.2903456974377114	316
kidney	broad_cell_class	kidney epithelial cell	HIF1A	ITGB2	0	0.3048203439327198	-0.00010598639984779668	0.00010598639984779668	6402
kidney	broad_cell_class	t cell	HIF1A	ITGB2	0	0.3048203439327198	-0.011520600657561317	0.011520600657561317	651
kidney	broad_cell_class	lymphocyte of b lineage	HIF1A	ITGB2	0	0.3048203439327198	-0.0026142013776927074	0.0026142013776927074	397
kidney	broad_cell_class	myeloid leukocyte	HIF1A	ITGB2	0	0.3048203439327198	0.05073768504276258	0.05073768504276258	316
kidney	broad_cell_class	kidney epithelial cell	HIF1A	XXYLT1	0	0.00524615191078	-0.009548476356139673	0.009548476356139673	6402
kidney	broad_cell_class	t cell	HIF1A	XXYLT1	0	0.00524615191078	-0.011863604703268055	0.011863604703268055	651
kidney	broad_cell_class	lymphocyte of b lineage	HIF1A	XXYLT1	0	0.00524615191078	0.027064715301897146	0.027064715301897146	397
kidney	broad_cell_class	myeloid leukocyte	HIF1A	XXYLT1	0	0.00524615191078	0.02420729544699951	0.02420729544699951	316
kidney	broad_cell_class	kidney epithelial cell	HIPK2	NOX1	0	-0.0013566759760265	-0.0010331901346328882	0.0010331901346328882	6402
kidney	broad_cell_class	t cell	HIPK2	NOX1	0	-0.0013566759760265	0.0	0.0	651
kidney	broad_cell_class	lymphocyte of b lineage	HIPK2	NOX1	0	-0.0013566759760265	0.0016153910840784578	0.0016153910840784578	397
kidney	broad_cell_class	myeloid leukocyte	HIPK2	NOX1	0	-0.0013566759760265	0.0	0.0	316
kidney	broad_cell_class	kidney epithelial cell	HNF4A	ZBTB16	0	-0.1618695197456975	0.008524922117632606	0.008524922117632606	6402
kidney	broad_cell_class	t cell	HNF4A	ZBTB16	0	-0.1618695197456975	-0.14823644993513113	0.14823644993513113	651
kidney	broad_cell_class	lymphocyte of b lineage	HNF4A	ZBTB16	0	-0.1618695197456975	0.15351898802864627	0.15351898802864627	397
kidney	broad_cell_class	myeloid leukocyte	HNF4A	ZBTB16	0	-0.1618695197456975	-0.15633580597546368	0.15633580597546368	316
kidney	broad_cell_class	kidney epithelial cell	JUN	STMN1	1	0.1172279210022007	0.04165281877279862	0.04165281877279862	6402
kidney	broad_cell_class	t cell	JUN	STMN1	1	0.1172279210022007	0.010269539030502612	0.010269539030502612	651
kidney	broad_cell_class	lymphocyte of b lineage	JUN	STMN1	1	0.1172279210022007	0.011943354849768752	0.011943354849768752	397
kidney	broad_cell_class	myeloid leukocyte	JUN	STMN1	1	0.1172279210022007	-0.025594568514544412	0.025594568514544412	316
kidney	broad_cell_class	kidney epithelial cell	JUND	ERBB2	0	0.0235173018322095	0.005165352704656814	0.005165352704656814	6402
kidney	broad_cell_class	t cell	JUND	ERBB2	0	0.0235173018322095	0.0005950059032804695	0.0005950059032804695	651
kidney	broad_cell_class	lymphocyte of b lineage	JUND	ERBB2	0	0.0235173018322095	0.01802745666233494	0.01802745666233494	397
kidney	broad_cell_class	myeloid leukocyte	JUND	ERBB2	0	0.0235173018322095	-0.01714791674536369	0.01714791674536369	316
kidney	broad_cell_class	kidney epithelial cell	KAT2B	SMAD4	0	0.0217962584420055	0.032154565377733854	0.032154565377733854	6402
kidney	broad_cell_class	t cell	KAT2B	SMAD4	0	0.0217962584420055	0.049422313438731075	0.049422313438731075	651
kidney	broad_cell_class	lymphocyte of b lineage	KAT2B	SMAD4	0	0.0217962584420055	0.00740612485913917	0.00740612485913917	397
kidney	broad_cell_class	myeloid leukocyte	KAT2B	SMAD4	0	0.0217962584420055	0.1213334116294304	0.1213334116294304	316
kidney	broad_cell_class	kidney epithelial cell	LMX1B	COL4A4	0	-0.1283237659982861	0.355180839480832	0.355180839480832	6402
kidney	broad_cell_class	myeloid leukocyte	LMX1B	COL4A4	0	-0.1283237659982861	-0.08065721853841833	0.08065721853841833	316
kidney	broad_cell_class	kidney epithelial cell	MEIS2	IL17RB	0	-0.0243603709603087	-0.03779640583286019	0.03779640583286019	6402
kidney	broad_cell_class	t cell	MEIS2	IL17RB	0	-0.0243603709603087	-1.5874830249002396	1.5874830249002396	651
kidney	broad_cell_class	lymphocyte of b lineage	MEIS2	IL17RB	0	-0.0243603709603087	-0.014943776849721362	0.014943776849721362	397
kidney	broad_cell_class	myeloid leukocyte	MEIS2	IL17RB	0	-0.0243603709603087	-0.06315339312714097	0.06315339312714097	316
kidney	broad_cell_class	kidney epithelial cell	MEN1	RAD51AP1	0	-0.000887180498367	0.017956121396454524	0.017956121396454524	6402
kidney	broad_cell_class	t cell	MEN1	RAD51AP1	0	-0.000887180498367	0.03917502177565148	0.03917502177565148	651
kidney	broad_cell_class	lymphocyte of b lineage	MEN1	RAD51AP1	0	-0.000887180498367	-0.012742174807837976	0.012742174807837976	397
kidney	broad_cell_class	myeloid leukocyte	MEN1	RAD51AP1	0	-0.000887180498367	0.1294191888244145	0.1294191888244145	316
kidney	broad_cell_class	kidney epithelial cell	MITF	AFF3	0	-0.2510420854056985	0.009247495709276425	0.009247495709276425	6402
kidney	broad_cell_class	t cell	MITF	AFF3	0	-0.2510420854056985	-0.045448754693334974	0.045448754693334974	651
kidney	broad_cell_class	lymphocyte of b lineage	MITF	AFF3	0	-0.2510420854056985	0.049601349849054094	0.049601349849054094	397
kidney	broad_cell_class	myeloid leukocyte	MITF	AFF3	0	-0.2510420854056985	-0.26512303966817363	0.26512303966817363	316
kidney	broad_cell_class	kidney epithelial cell	MITF	ARSG	0	0.0234325775433155	0.006165846109499376	0.006165846109499376	6402
kidney	broad_cell_class	t cell	MITF	ARSG	0	0.0234325775433155	-0.1811516760982388	0.1811516760982388	651
kidney	broad_cell_class	lymphocyte of b lineage	MITF	ARSG	0	0.0234325775433155	0.06643143849372776	0.06643143849372776	397
kidney	broad_cell_class	myeloid leukocyte	MITF	ARSG	0	0.0234325775433155	0.05902772526440613	0.05902772526440613	316
kidney	broad_cell_class	kidney epithelial cell	MITF	TSC22D2	0	0.1861321685398076	0.03235322238346437	0.03235322238346437	6402
kidney	broad_cell_class	t cell	MITF	TSC22D2	0	0.1861321685398076	-0.09503108578346074	0.09503108578346074	651
kidney	broad_cell_class	lymphocyte of b lineage	MITF	TSC22D2	0	0.1861321685398076	-0.0426425141162222	0.0426425141162222	397
kidney	broad_cell_class	myeloid leukocyte	MITF	TSC22D2	0	0.1861321685398076	0.00044776936361658404	0.00044776936361658404	316
kidney	broad_cell_class	kidney epithelial cell	MYB	ANPEP	1	-0.0005746949133599	-0.3245472435217911	0.3245472435217911	6402
kidney	broad_cell_class	t cell	MYB	ANPEP	1	-0.0005746949133599	-0.02394070649664287	0.02394070649664287	651
kidney	broad_cell_class	lymphocyte of b lineage	MYB	ANPEP	1	-0.0005746949133599	-0.07573015176103294	0.07573015176103294	397
kidney	broad_cell_class	myeloid leukocyte	MYB	ANPEP	1	-0.0005746949133599	0.42157849784860474	0.42157849784860474	316
kidney	broad_cell_class	kidney epithelial cell	MYC	CCKBR	0	-0.0009276465335111	-0.0003867679720143947	0.0003867679720143947	6402
kidney	broad_cell_class	t cell	MYC	CCKBR	0	-0.0009276465335111	0.0	0.0	651
kidney	broad_cell_class	lymphocyte of b lineage	MYC	CCKBR	0	-0.0009276465335111	0.0	0.0	397
kidney	broad_cell_class	myeloid leukocyte	MYC	CCKBR	0	-0.0009276465335111	-0.002107995369107476	0.002107995369107476	316
kidney	broad_cell_class	kidney epithelial cell	MYC	MELTF	1	0.0600201685450164	0.0006324375903484675	0.0006324375903484675	6402
kidney	broad_cell_class	t cell	MYC	MELTF	1	0.0600201685450164	-0.007327563502344132	0.007327563502344132	651
kidney	broad_cell_class	lymphocyte of b lineage	MYC	MELTF	1	0.0600201685450164	0.007353571078911298	0.007353571078911298	397
kidney	broad_cell_class	myeloid leukocyte	MYC	MELTF	1	0.0600201685450164	-0.021431613061395436	0.021431613061395436	316
kidney	broad_cell_class	kidney epithelial cell	MYC	SHMT1	0	0.0371827473058897	0.004982681121759491	0.004982681121759491	6402
kidney	broad_cell_class	t cell	MYC	SHMT1	0	0.0371827473058897	0.01975785625674644	0.01975785625674644	651
kidney	broad_cell_class	lymphocyte of b lineage	MYC	SHMT1	0	0.0371827473058897	0.024258133484478365	0.024258133484478365	397
kidney	broad_cell_class	myeloid leukocyte	MYC	SHMT1	0	0.0371827473058897	0.08540168157707706	0.08540168157707706	316
kidney	broad_cell_class	kidney epithelial cell	NFKB1	NOX5	0	1.2982252360551998e-05	-0.0008685370318924659	0.0008685370318924659	6402
kidney	broad_cell_class	t cell	NFKB1	NOX5	0	1.2982252360551998e-05	0.0026414690304105482	0.0026414690304105482	651
kidney	broad_cell_class	lymphocyte of b lineage	NFKB1	NOX5	0	1.2982252360551998e-05	-0.0038993147734457767	0.0038993147734457767	397
kidney	broad_cell_class	myeloid leukocyte	NFKB1	NOX5	0	1.2982252360551998e-05	8.158065524630315e-05	8.158065524630315e-05	316
kidney	broad_cell_class	kidney epithelial cell	NFKB2	CXCL8	1	0.3721930989702101	-5.670419539919616e-05	5.670419539919616e-05	6402
kidney	broad_cell_class	t cell	NFKB2	CXCL8	1	0.3721930989702101	0.0	0.0	651
kidney	broad_cell_class	lymphocyte of b lineage	NFKB2	CXCL8	1	0.3721930989702101	0.0	0.0	397
kidney	broad_cell_class	myeloid leukocyte	NFKB2	CXCL8	1	0.3721930989702101	0.10332410761578815	0.10332410761578815	316
kidney	broad_cell_class	kidney epithelial cell	NR2F2	RFTN1	0	-0.0067514081931193	-0.0015433973621005374	0.0015433973621005374	6402
kidney	broad_cell_class	t cell	NR2F2	RFTN1	0	-0.0067514081931193	-0.19347598020651188	0.19347598020651188	651
kidney	broad_cell_class	lymphocyte of b lineage	NR2F2	RFTN1	0	-0.0067514081931193	0.07139469544240708	0.07139469544240708	397
kidney	broad_cell_class	myeloid leukocyte	NR2F2	RFTN1	0	-0.0067514081931193	-0.18888148574702784	0.18888148574702784	316
kidney	broad_cell_class	kidney epithelial cell	PRDM14	TP53I11	0	-0.099794420123271	-0.002274539388851831	0.002274539388851831	6402
kidney	broad_cell_class	t cell	PRDM14	TP53I11	0	-0.099794420123271	-0.16027638146109713	0.16027638146109713	651
kidney	broad_cell_class	kidney epithelial cell	RELA	CXCL8	1	0.1405033905439326	0.0002348256161341766	0.0002348256161341766	6402
kidney	broad_cell_class	t cell	RELA	CXCL8	1	0.1405033905439326	0.0	0.0	651
kidney	broad_cell_class	lymphocyte of b lineage	RELA	CXCL8	1	0.1405033905439326	0.0	0.0	397
kidney	broad_cell_class	myeloid leukocyte	RELA	CXCL8	1	0.1405033905439326	-0.05277695149369005	0.05277695149369005	316
kidney	broad_cell_class	kidney epithelial cell	RELA	SLC9A2	1	0.0022740298928851	-0.005030282692122556	0.005030282692122556	6402
kidney	broad_cell_class	t cell	RELA	SLC9A2	1	0.0022740298928851	-0.0017965800580633923	0.0017965800580633923	651
kidney	broad_cell_class	lymphocyte of b lineage	RELA	SLC9A2	1	0.0022740298928851	-0.004339255968191701	0.004339255968191701	397
kidney	broad_cell_class	myeloid leukocyte	RELA	SLC9A2	1	0.0022740298928851	0.008479579445117517	0.008479579445117517	316
kidney	broad_cell_class	kidney epithelial cell	RFXANK	HLA-DRB5	0	-0.1594297233325364	0.0008637169442813272	0.0008637169442813272	6402
kidney	broad_cell_class	t cell	RFXANK	HLA-DRB5	0	-0.1594297233325364	-0.03366549465222755	0.03366549465222755	651
kidney	broad_cell_class	lymphocyte of b lineage	RFXANK	HLA-DRB5	0	-0.1594297233325364	0.029688403844926086	0.029688403844926086	397
kidney	broad_cell_class	myeloid leukocyte	RFXANK	HLA-DRB5	0	-0.1594297233325364	0.04838306945630564	0.04838306945630564	316
kidney	broad_cell_class	kidney epithelial cell	RUNX1	SLC22A4	0	0.0494475544899052	0.057765591152490074	0.057765591152490074	6402
kidney	broad_cell_class	t cell	RUNX1	SLC22A4	0	0.0494475544899052	0.004998919599452441	0.004998919599452441	651
kidney	broad_cell_class	lymphocyte of b lineage	RUNX1	SLC22A4	0	0.0494475544899052	0.007805121466510456	0.007805121466510456	397
kidney	broad_cell_class	myeloid leukocyte	RUNX1	SLC22A4	0	0.0494475544899052	0.056329322767501265	0.056329322767501265	316
kidney	broad_cell_class	kidney epithelial cell	SIRT1	EGLN1	1	-0.0302060048253078	0.017478220817232597	0.017478220817232597	6402
kidney	broad_cell_class	t cell	SIRT1	EGLN1	1	-0.0302060048253078	0.004569589598566226	0.004569589598566226	651
kidney	broad_cell_class	lymphocyte of b lineage	SIRT1	EGLN1	1	-0.0302060048253078	0.027333295229990194	0.027333295229990194	397
kidney	broad_cell_class	myeloid leukocyte	SIRT1	EGLN1	1	-0.0302060048253078	0.01336042994855293	0.01336042994855293	316
kidney	broad_cell_class	kidney epithelial cell	SP1	CREB1	1	-0.0601983848214354	0.026499056928429018	0.026499056928429018	6402
kidney	broad_cell_class	t cell	SP1	CREB1	1	-0.0601983848214354	0.081468431152201	0.081468431152201	651
kidney	broad_cell_class	lymphocyte of b lineage	SP1	CREB1	1	-0.0601983848214354	0.014215162967703037	0.014215162967703037	397
kidney	broad_cell_class	myeloid leukocyte	SP1	CREB1	1	-0.0601983848214354	-0.01354764044064279	0.01354764044064279	316
