rep,auc,accuracy,beta_base,beta_alt,gamma_alt
51,0.5128333985694159,0.5116666666666667,0.8,0.0,1.3
52,0.5090878103422085,0.5066666666666667,0.8,0.0,1.3
53,0.49572960899097274,0.49833333333333335,0.8,0.0,1.3
54,0.49953616722190725,0.5016666666666667,0.8,0.0,1.3
55,0.4989141659954837,0.49444444444444446,0.8,0.0,1.3
56,0.5087756130332549,0.5022222222222222,0.8,0.0,1.3
57,0.5188438735177866,0.515,0.8,0.0,1.3
58,0.48821171384162204,0.4988888888888889,0.8,0.0,1.3
59,0.47700852843717745,0.4888888888888889,0.8,0.0,1.3
60,0.5071772402409409,0.4955555555555556,0.8,0.0,1.3
61,0.5081282391017385,0.5061111111111111,0.8,0.0,1.3
62,0.49105185185185185,0.48944444444444446,0.8,0.0,1.3
63,0.4923749163387227,0.5066666666666667,0.8,0.0,1.3
64,0.4961842618707737,0.4961111111111111,0.8,0.0,1.3
65,0.49421228100731385,0.495,0.8,0.0,1.3
66,0.4876097442931733,0.48333333333333334,0.8,0.0,1.3
67,0.5041448492327304,0.48944444444444446,0.8,0.0,1.3
68,0.47927223416749926,0.47055555555555556,0.8,0.0,1.3
69,0.5091206518719713,0.5116666666666667,0.8,0.0,1.3
70,0.5098619341566327,0.5061111111111111,0.8,0.0,1.3
71,0.49185534218428956,0.495,0.8,0.0,1.3
72,0.5062900188323917,0.4988888888888889,0.8,0.0,1.3
73,0.4827149209486166,0.4938888888888889,0.8,0.0,1.3
74,0.4939037113587902,0.49722222222222223,0.8,0.0,1.3
75,0.4952708820481274,0.49722222222222223,0.8,0.0,1.3
76,0.4981301892033705,0.5144444444444445,0.8,0.0,1.3
77,0.4894057019818165,0.48055555555555557,0.8,0.0,1.3
78,0.5082874428941845,0.5144444444444445,0.8,0.0,1.3
79,0.48897828749802436,0.49833333333333335,0.8,0.0,1.3
80,0.5108841656131479,0.5072222222222222,0.8,0.0,1.3
81,0.5072642334036217,0.5033333333333333,0.8,0.0,1.3
82,0.5195287808154235,0.5111111111111111,0.8,0.0,1.3
83,0.506459989800341,0.5055555555555555,0.8,0.0,1.3
84,0.5110547756260256,0.5216666666666666,0.8,0.0,1.3
85,0.5187706135431365,0.515,0.8,0.0,1.3
86,0.5049490279753438,0.5127777777777778,0.8,0.0,1.3
87,0.5126311137010113,0.5083333333333333,0.8,0.0,1.3
88,0.5008944145205876,0.5016666666666667,0.8,0.0,1.3
89,0.5068420240190177,0.5005555555555555,0.8,0.0,1.3
90,0.46831005481390564,0.4738888888888889,0.8,0.0,1.3
91,0.48982265265403685,0.4872222222222222,0.8,0.0,1.3
92,0.49152232665926704,0.4955555555555556,0.8,0.0,1.3
93,0.49788390881795197,0.5022222222222222,0.8,0.0,1.3
94,0.4880042117803794,0.49833333333333335,0.8,0.0,1.3
95,0.4968539295255466,0.495,0.8,0.0,1.3
96,0.5244206417108338,0.5188888888888888,0.8,0.0,1.3
97,0.5015657104472894,0.5077777777777778,0.8,0.0,1.3
98,0.48959774313861476,0.48277777777777775,0.8,0.0,1.3
99,0.509719635862505,0.5072222222222222,0.8,0.0,1.3
100,0.495675233035958,0.5027777777777778,0.8,0.0,1.3
101,0.5015556315839529,0.5022222222222222,0.8,0.0,1.3
102,0.49834447105201735,0.4905555555555556,0.8,0.0,1.3
103,0.5023920430753039,0.49944444444444447,0.8,0.0,1.3
104,0.5074975296442688,0.5016666666666667,0.8,0.0,1.3
105,0.4976030124386555,0.48944444444444446,0.8,0.0,1.3
106,0.48096076070513416,0.48388888888888887,0.8,0.0,1.3
107,0.4939671564390665,0.49833333333333335,0.8,0.0,1.3
108,0.5305250162042038,0.5244444444444445,0.8,0.0,1.3
109,0.505004327165836,0.4988888888888889,0.8,0.0,1.3
110,0.48332280644072784,0.4938888888888889,0.8,0.0,1.3
111,0.4933291814484888,0.5044444444444445,0.8,0.0,1.3
112,0.4915022366434174,0.49444444444444446,0.8,0.0,1.3
113,0.49793763140578107,0.4888888888888889,0.8,0.0,1.3
114,0.49503985893788527,0.4888888888888889,0.8,0.0,1.3
115,0.5175951486180179,0.5138888888888888,0.8,0.0,1.3
116,0.4935655227596017,0.5016666666666667,0.8,0.0,1.3
117,0.497341975308642,0.5,0.8,0.0,1.3
118,0.5051090221106918,0.5111111111111111,0.8,0.0,1.3
119,0.48367799742937256,0.485,0.8,0.0,1.3
120,0.4953258449719032,0.5016666666666667,0.8,0.0,1.3
121,0.5056368226302866,0.5111111111111111,0.8,0.0,1.3
122,0.49911305026707314,0.49444444444444446,0.8,0.0,1.3
123,0.5019576031677242,0.5033333333333333,0.8,0.0,1.3
124,0.4931744071146245,0.5044444444444445,0.8,0.0,1.3
125,0.48949588399807703,0.49666666666666665,0.8,0.0,1.3
126,0.49839733300407457,0.4861111111111111,0.8,0.0,1.3
127,0.4590170617600878,0.4766666666666667,0.8,0.0,1.3
128,0.4955709384425259,0.49833333333333335,0.8,0.0,1.3
129,0.5164287506535532,0.5111111111111111,0.8,0.0,1.3
130,0.47713259647349937,0.48388888888888887,0.8,0.0,1.3
131,0.49027330156596016,0.5005555555555555,0.8,0.0,1.3
132,0.483787574259626,0.49,0.8,0.0,1.3
133,0.4999320772985042,0.4955555555555556,0.8,0.0,1.3
134,0.49897777272974186,0.4961111111111111,0.8,0.0,1.3
135,0.5042992622772493,0.49666666666666665,0.8,0.0,1.3
136,0.5026823292299789,0.495,0.8,0.0,1.3
137,0.48835302890384646,0.49444444444444446,0.8,0.0,1.3
138,0.49694068030973454,0.49944444444444447,0.8,0.0,1.3
139,0.4997098063235054,0.5027777777777778,0.8,0.0,1.3
140,0.4964129585345167,0.5044444444444445,0.8,0.0,1.3
141,0.4838752290134766,0.48,0.8,0.0,1.3
142,0.46566576603721394,0.48333333333333334,0.8,0.0,1.3
143,0.4863402084138733,0.4872222222222222,0.8,0.0,1.3
144,0.48930199106295474,0.4955555555555556,0.8,0.0,1.3
145,0.4718455399779752,0.47833333333333333,0.8,0.0,1.3
146,0.49334875722068794,0.49277777777777776,0.8,0.0,1.3
147,0.49060992578563395,0.4811111111111111,0.8,0.0,1.3
148,0.5075388672685249,0.5083333333333333,0.8,0.0,1.3
149,0.4965446659555349,0.5077777777777778,0.8,0.0,1.3
150,0.5032117640813293,0.5033333333333333,0.8,0.0,1.3
151,0.5031426185523201,0.51,0.8,0.0,1.3
152,0.5146341794673295,0.5138888888888888,0.8,0.0,1.3
153,0.5105069068668664,0.5138888888888888,0.8,0.0,1.3
154,0.5035104981611088,0.5,0.8,0.0,1.3
155,0.4901013084647643,0.495,0.8,0.0,1.3
156,0.4873942834986559,0.4938888888888889,0.8,0.0,1.3
157,0.4994584005958211,0.5061111111111111,0.8,0.0,1.3
158,0.5187329813837177,0.5216666666666666,0.8,0.0,1.3
159,0.5205762231407816,0.5172222222222222,0.8,0.0,1.3
160,0.5032303466156363,0.5072222222222222,0.8,0.0,1.3
161,0.5057038163716814,0.5088888888888888,0.8,0.0,1.3
162,0.4983411102152297,0.49444444444444446,0.8,0.0,1.3
163,0.5196248019863715,0.5144444444444445,0.8,0.0,1.3
164,0.5216608527922043,0.5155555555555555,0.8,0.0,1.3
165,0.48952586057860914,0.48777777777777775,0.8,0.0,1.3
166,0.5057300548705157,0.5122222222222222,0.8,0.0,1.3
167,0.4994586413069646,0.5016666666666667,0.8,0.0,1.3
168,0.502955128751679,0.5,0.8,0.0,1.3
169,0.48369705510727623,0.4922222222222222,0.8,0.0,1.3
170,0.49064549423198484,0.4872222222222222,0.8,0.0,1.3
171,0.5076040062299371,0.49944444444444447,0.8,0.0,1.3
172,0.511307463246732,0.5083333333333333,0.8,0.0,1.3
173,0.47660822323743673,0.47888888888888886,0.8,0.0,1.3
174,0.480842634914633,0.4861111111111111,0.8,0.0,1.3
175,0.5094306770527189,0.4988888888888889,0.8,0.0,1.3
176,0.47794975499727776,0.48,0.8,0.0,1.3
177,0.49232109751575825,0.49166666666666664,0.8,0.0,1.3
178,0.5257766705020765,0.5116666666666667,0.8,0.0,1.3
179,0.5011458827248301,0.5055555555555555,0.8,0.0,1.3
180,0.5097376663427979,0.51,0.8,0.0,1.3
181,0.48906432567772246,0.49444444444444446,0.8,0.0,1.3
182,0.4992627299492185,0.5022222222222222,0.8,0.0,1.3
183,0.512359889332498,0.5044444444444445,0.8,0.0,1.3
184,0.4978376302946576,0.49944444444444447,0.8,0.0,1.3
185,0.4923181771041676,0.4911111111111111,0.8,0.0,1.3
186,0.5072225432241433,0.5,0.8,0.0,1.3
187,0.49830444821370995,0.4955555555555556,0.8,0.0,1.3
188,0.483223887672826,0.4861111111111111,0.8,0.0,1.3
189,0.4973012345679012,0.4911111111111111,0.8,0.0,1.3
190,0.4975733099903574,0.5022222222222222,0.8,0.0,1.3
191,0.49366091546035373,0.5005555555555555,0.8,0.0,1.3
192,0.4813320065778103,0.4938888888888889,0.8,0.0,1.3
193,0.5220126950966701,0.5261111111111111,0.8,0.0,1.3
194,0.524094823114431,0.5072222222222222,0.8,0.0,1.3
195,0.4937116585246009,0.4955555555555556,0.8,0.0,1.3
196,0.5060145613747005,0.5144444444444445,0.8,0.0,1.3
197,0.5058022290142323,0.505,0.8,0.0,1.3
198,0.5150013779739211,0.51,0.8,0.0,1.3
199,0.49284233377087316,0.49666666666666665,0.8,0.0,1.3
